trainer,trainer_starts,trainer_siegrate
Birgit Nikolaus,1.0,0.0
Birgit Roesch,1.0,0.0
Andrea Rulec,1.0,0.0
Steven Leirs,1.0,0.0
Sofean Ghys,1.0,0.0
Stefan Schöndorf,1.0,0.0
Jan Mathijs Snackers/Niederlande,1.0,0.0
James Stanley Moore,1.0,0.0
J. de Mieulle,1.0,0.0
J. Mathijs Snackers/Niederlande,1.0,1.0
Jerome Reynier,1.0,0.0
Jaqueline Nutzl,1.0,0.0
Janine Beckmann,1.0,0.0
Jessica Lehmann,1.0,0.0
Saskia Wagner,1.0,0.0
Jutta Pohl,1.0,0.0
Jozef Chodur,1.0,0.0
Josef-Hubert Verhaag,1.0,0.0
K R Burke,1.0,0.0
V. Koreckova,0.0,0.0
V. Bracke,0.0,0.0
E. Walker,0.0,0.0
W. J. Haggas/England,0.0,0.0
W. J. McCreery/Irland,0.0,0.0
A. Murphy/Frankreich,0.0,0.0
A. P. O'Brien,0.0,0.0
F.-R. Monfort/Frankreich,0.0,0.0
M. Renggli,0.0,0.0
W. M.M. Watlow-Eble,0.0,0.0
W. Muir u.Chris Grassick,0.0,0.0
G. Pap,0.0,0.0
P. Sogorb/Frankreich,0.0,0.0
P. Tuma,0.0,0.0
P. de Chevigny/Frankreich,0.0,0.0
G. Arizkorreta Elosegui,0.0,0.0
M. Münch/Frankreich,0.0,0.0
G. Molnar/Ungarn,0.0,0.0
G. Mosse,0.0,0.0
M. Klein,0.0,0.0
M. Keller,0.0,0.0
P. Blumenauer,0.0,0.0
N. Caullery,0.0,0.0
O. Sangster,0.0,0.0
E. Elvira Jatzke,0.0,0.0
E. Monfort,0.0,0.0
M. Pisl,0.0,0.0
F. Reuterskiöld/Schweden,0.0,0.0
M. Delzangles/Frankreich,0.0,0.0
M. Geisler,0.0,0.0
M. Guarnieri/Frankreich,0.0,0.0
D. K. Weld,0.0,0.0
D. Loughnane,0.0,0.0
H. Devin,0.0,0.0
M. Alles,0.0,0.0
D. Van Dijck,0.0,0.0
R. Hannon jun.,0.0,0.0
R. Millman,0.0,0.0
R. Varian,0.0,0.0
R. G. Hughes,0.0,0.0
K. van den Bos/Niederlande,0.0,0.0
H. Kienemann,0.0,0.0
H. Wagner,0.0,0.0
B. Kovacic/Slowenien,0.0,0.0
B. Dunk,0.0,0.0
S. Plavac,0.0,0.0
S. Nigge/Frankreich,0.0,0.0
S. Heiler,0.0,0.0
S. Lanslots,0.0,0.0
C. Delcher-Sanchez/Frankreich,0.0,0.0
S. Mark Prescott/England,0.0,0.0
K. Ziemianski/Polen,0.0,0.0
K. Suter-Weber,0.0,0.0
K. Philippart de Foy,0.0,0.0
J. Bernard,0.0,0.0
C. Laffon-Parias,0.0,0.0
I. Endaltsev/Frankreich,0.0,0.0
S. Wattel,0.0,0.0
S. bin Suroor,0.0,0.0
J. u.Thady Gosden,0.0,0.0
I. Pejskova,0.0,0.0
J. Römich,0.0,0.0
J. Reynier,0.0,0.0
J. Chapple-Hyam,0.0,0.0
J. Stephen O'Donoghue,0.0,0.0
J. Jelen,0.0,0.0
J. Göritz,0.0,0.0
J. Long,0.0,0.0
T. Setzock,0.0,0.0
J. Harrington,0.0,0.0
A. Budka,0.0,0.0
A. Herlin/Schweden,0.0,0.0
Y. Barberot,0.0,0.0
A. Haynes/England,0.0,0.0
A. Faltejskova/Tschechien,0.0,0.0
